ID,Child Gender,Child Age Group,Child Birthday,Child Age In Years,Child Race,Surprise-Important,Surprise-Interesting,Surprise-Difficulty,Surprise-Motivation,Awe-Important,Awe-Interesting,Awe-Difficulty,Awe-Motivation,Enjoyment-Important,Enjoyment-Interesting,Enjoyment-Difficulty,Enjoyment-Motivation,Neutral-Important,Neutral-Interesting,Neutral-Difficulty,Neutral-Motivation,Fear-Important,Fear-Interesting,Fear-Difficulty,Fear-Motivation,Sadness-Important,Sadness-Interesting,Sadness-Difficulty,Sadness-Motivation
1001,Female,6,12/13/2016,6.91,White,1. really not important,6. really interesting,1. really easy,4. a tiny bit want to learn,1. really not important,4. a tiny bit interesting,6. really difficult,3. a tiny bit not want to learn,4. a tiny bit important,1. really not interesting,6. really difficult,6. a lot want to learn,1. really not important,1. really not interesting,2. a little easy,1. a lot not want to learn,1. really not important,1. really not interesting,1. really easy,1. a lot not want to learn,1. really not important,6. really interesting,1. really easy,3. a tiny bit not want to learn
1002,Female,4,01/29/2019,4.79,White,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn,3. a tiny bit not important,4. a tiny bit interesting,1. really easy,6. a lot want to learn,6. really important,1. really not interesting,6. really difficult,1. a lot not want to learn,1. really not important,6. really interesting,1. really easy,1. a lot not want to learn,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn
1003,Female,6,10/24/2017,6.05,Hispanic,5. a little important,3. a tiny bit not interesting,5. a little difficult,3. a tiny bit not want to learn,6. really important,4. a tiny bit interesting,2. a little easy,4. a tiny bit want to learn,5. a little important,4. a tiny bit interesting,3. a tiny bit easy,5. a little want to learn,2. a little not important,2. a little not interesting,4. a tiny bit difficult,3. a tiny bit not want to learn,3. a tiny bit not important,2. a little not interesting,6. really difficult,2. a little not want to learn,1. really not important,3. a tiny bit not interesting,6. really difficult,1. a lot not want to learn
1004,Male,6,10/17/2017,6.07,White,6. really important,6. really interesting,6. really difficult,1. a lot not want to learn,6. really important,1. really not interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,4. a tiny bit difficult,4. a tiny bit want to learn,6. really important,1. really not interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,6. really difficult,2. a little not want to learn,6. really important,2. a little not interesting,4. a tiny bit difficult,5. a little want to learn
1005,Female,8,04/17/2015,8.58,Asian,5. a little important,5. a little interesting,3. a tiny bit easy,5. a little want to learn,6. really important,5. a little interesting,4. a tiny bit difficult,6. a lot want to learn,5. a little important,6. really interesting,5. a little difficult,3. a tiny bit not want to learn,3. a tiny bit not important,1. really not interesting,2. a little easy,2. a little not want to learn,2. a little not important,1. really not interesting,1. really easy,2. a little not want to learn,1. really not important,2. a little not interesting,6. really difficult,1. a lot not want to learn
1006,Female,5,05/08/2023,5.52,Asian,6. really important,6. really interesting,6. really difficult,6. a lot want to learn,6. really important,5. a little interesting,6. really difficult,1. a lot not want to learn,1. really not important,4. a tiny bit interesting,1. really easy,1. a lot not want to learn,1. really not important,4. a tiny bit interesting,3. a tiny bit easy,1. a lot not want to learn,6. really important,5. a little interesting,3. a tiny bit easy,3. a tiny bit not want to learn,5. a little important,1. really not interesting,2. a little easy,1. a lot not want to learn
1007,Female,6,10/22/2017,6.09,Asian,6. really important,6. really interesting,2. a little easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,5. a little important,6. really interesting,3. a tiny bit easy,6. a lot want to learn,3. a tiny bit not important,6. really interesting,4. a tiny bit difficult,6. a lot want to learn,3. a tiny bit not important,6. really interesting,6. really difficult,6. a lot want to learn
1008,Female,7,10/07/2016,7.13,White,5. a little important,6. really interesting,6. really difficult,5. a little want to learn,6. really important,6. really interesting,6. really difficult,1. a lot not want to learn,6. really important,4. a tiny bit interesting,4. a tiny bit difficult,6. a lot want to learn,6. really important,2. a little not interesting,2. a little easy,2. a little not want to learn,1. really not important,6. really interesting,3. a tiny bit easy,1. a lot not want to learn,6. really important,5. a little interesting,2. a little easy,1. a lot not want to learn
1009,Female,4,12/01/2018,4.98,White,6. really important,1. really not interesting,6. really difficult,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,6. really difficult,6. a lot want to learn,6. really important,6. really interesting,6. really difficult,6. a lot want to learn,1. really not important,1. really not interesting,5. a little difficult,6. a lot want to learn
1010,Female,4,03/14/2019,4.67,Hispanic,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn
1011,Female,8,10/16/2017,8.98,Black or African American,1. really not important,6. really interesting,6. really difficult,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,1. really not interesting,6. really difficult,1. a lot not want to learn,6. really important,6. really interesting,1. really easy,3. a tiny bit not want to learn,1. really not important,1. really not interesting,1. really easy,1. a lot not want to learn
1012,Female,7,03/28/2016,7.66,Black or African American,5. a little important,1. really not interesting,6. really difficult,1. a lot not want to learn,1. really not important,6. really interesting,1. really easy,6. a lot want to learn,1. really not important,1. really not interesting,3. a tiny bit easy,1. a lot not want to learn,1. really not important,5. a little interesting,2. a little easy,1. a lot not want to learn,1. really not important,1. really not interesting,6. really difficult,2. a little not want to learn,1. really not important,1. really not interesting,1. really easy,3. a tiny bit not want to learn
1013,Female,8,12/01/2014,8.98,Black or African American,1. really not important,1. really not interesting,5. a little difficult,2. a little not want to learn,4. a tiny bit important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,6. really difficult,1. a lot not want to learn,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn,2. a little not important,1. really not interesting,6. really difficult,1. a lot not want to learn,6. really important,1. really not interesting,1. really easy,1. a lot not want to learn
1014,Female,6,10/15/2017,6.11,White,1. really not important,4. a tiny bit interesting,1. really easy,3. a tiny bit not want to learn,1. really not important,3. a tiny bit not interesting,6. really difficult,1. a lot not want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,5. a little important,4. a tiny bit interesting,4. a tiny bit difficult,3. a tiny bit not want to learn,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn,2. a little not important,1. really not interesting,5. a little difficult,1. a lot not want to learn
