first_name,last_name,initials,height_in,height_cm,mass,hair,gender,species,homeworld,brown_hair
Adi,Gallia,AG,72.44094488188976,184,50,none,f,THOLOTHIAN,Coruscant,FALSE
Ackbar,NA,ANA,70.86614173228347,180,83,none,m,MON CALAMARI,Mon Cala,FALSE
Ayla,Secura,AS,70.07874015748031,178,55,none,f,TWI'LEK,Ryloth,FALSE
Anakin,Skywalker,AS,74.01574803149606,188,84,blond,m,HUMAN,Tatooine,FALSE
Biggs,Darklighter,BD,72.04724409448819,183,84,black,m,HUMAN,Tatooine,FALSE
Boba,Fett,BF,72.04724409448819,183,78.2,black,m,HUMAN,Kamino,FALSE
Bib,Fortuna,BF,70.86614173228347,180,NA,none,m,TWI'LEK,Ryloth,FALSE
Bossk,NA,BNA,74.80314960629921,190,113,none,m,TRANDOSHAN,Trandosha,FALSE
Barriss,Offee,BO,65.35433070866142,166,50,black,f,MIRIALAN,Mirial,FALSE
Bail,Prestor,BP,75.19685039370079,191,NA,black,m,HUMAN,Alderaan,FALSE
Ben,Quadinaros,BQ,64.1732283464567,163,65,none,m,TOONG,Tund,FALSE
Beru,Whitesun,BW,64.96062992125984,165,75,brown,f,HUMAN,Tatooine,TRUE
Cliegg,Lars,CL,72.04724409448819,183,NA,brown,m,HUMAN,Tatooine,TRUE
C-3PO,NA,CNA,65.74803149606299,167,75,bald,m,DROID,Tatooine,FALSE
Chewbacca,NA,CNA,89.76377952755905,228,112,brown,m,WOOKIEE,Kashyyyk,TRUE
Cordé,NA,CNA,61.811023622047244,157,NA,brown,NA,NA,Naboo,TRUE
Dud,Bolt,DB,37.00787401574803,94,45,none,m,VULPTEREEN,Vulpter,FALSE
Dexter,Jettster,DJ,77.95275590551181,198,102,none,m,BESALISK,Ojom,FALSE
Darth,Maul,DM,68.89763779527559,175,80,none,m,ZABRAK,Dathomir,FALSE
Dooku,NA,DNA,75.98425196850394,193,80,white,m,HUMAN,Serenno,FALSE
Dormé,NA,DNA,64.96062992125984,165,NA,brown,f,HUMAN,Naboo,TRUE
Darth,Vader,DV,79.5275590551181,202,136,none,m,HUMAN,Tatooine,FALSE
Eeth,Koth,EK,67.32283464566929,171,NA,black,m,ZABRAK,Iridonia,FALSE
Finis,Valorum,FV,66.92913385826772,170,NA,blond,m,HUMAN,Coruscant,FALSE
Gasgano,NA,GNA,48.031496062992126,122,NA,none,m,XEXTO,Troiken,FALSE
Greedo,NA,GNA,68.11023622047244,173,74,bald,m,RODIAN,Rodia,FALSE
Grievous,NA,GNA,85.03937007874016,216,159,none,m,KALEESH,Kalee,FALSE
Gregar,Typho,GT,72.83464566929133,185,85,black,NA,NA,Naboo,FALSE
Han,Solo,HS,70.86614173228347,180,80,brown,m,HUMAN,Corellia,TRUE
IG-88,NA,INA,78.74015748031496,200,140,none,m,DROID,NA,FALSE
Jabba,Desilijic,JD,68.89763779527559,175,1358,bald,m,HUTT,Nal Hutta,FALSE
Jango,Fett,JF,72.04724409448819,183,79,black,m,HUMAN,Concord Dawn,FALSE
Jar,Jar,JJ,77.16535433070867,196,66,none,m,GUNGAN,Naboo,FALSE
Jocasta,Nu,JN,65.74803149606299,167,NA,white,f,HUMAN,Coruscant,FALSE
Jek,Tono,JT,70.86614173228347,180,110,brown,NA,NA,Bestine IV,TRUE
Kit,Fisto,KF,77.16535433070867,196,87,none,m,NAUTOLAN,Glee Anselm,FALSE
Ki-Adi-Mundi,NA,KNA,77.95275590551181,198,82,white,m,CEREAN,Cerea,FALSE
Lando,Calrissian,LC,69.68503937007874,177,79,black,m,HUMAN,Socorro,FALSE
Lobot,NA,LNA,68.89763779527559,175,79,none,m,HUMAN,Bespin,FALSE
Leia,Organa,LO,59.05511811023622,150,49,brown,f,HUMAN,Alderaan,TRUE
Luke,Skywalker,LS,67.71653543307086,172,77,blond,m,HUMAN,Tatooine,FALSE
Lama,Su,LS,90.15748031496062,229,88,none,m,KAMINOAN,Kamino,FALSE
Luminara,Unduli,LU,66.92913385826772,170,56.2,black,f,MIRIALAN,Mirial,FALSE
Mas,Amedda,MA,77.16535433070867,196,NA,none,m,CHAGRIAN,Champala,FALSE
Mon,Mothma,MM,59.05511811023622,150,NA,auburn,f,HUMAN,Chandrila,FALSE
Mace,Windu,MW,74.01574803149606,188,84,none,m,HUMAN,Haruun Kal,FALSE
Nute,Gunray,NG,75.19685039370079,191,90,none,m,NEIMODIAN,Cato Neimoidia,FALSE
Nien,Nunb,NN,62.99212598425197,160,68,none,m,SULLUSTAN,Sullust,FALSE
Obi-Wan,Kenobi,OK,71.65354330708661,182,77,"auburn, white",m,HUMAN,Stewjon,FALSE
Owen,Lars,OL,70.07874015748031,178,120,"brown, grey",m,HUMAN,Tatooine,FALSE
Padmé,Amidala,PA,72.83464566929133,185,45,brown,f,HUMAN,Naboo,TRUE
Plo,Koon,PK,74.01574803149606,188,80,none,m,KEL DOR,Dorin,FALSE
Palpatine,NA,PNA,66.92913385826772,170,75,grey,m,HUMAN,Naboo,FALSE
Poggle,the,Pt,72.04724409448819,183,80,none,m,GEONOSIAN,Geonosis,FALSE
Qui-Gon,Jinn,QJ,75.98425196850394,193,89,brown,m,HUMAN,NA,TRUE
Quarsh,Panaka,QP,72.04724409448819,183,NA,black,m,HUMAN,Naboo,FALSE
Raymus,Antilles,RA,74.01574803149606,188,79,brown,m,HUMAN,Alderaan,TRUE
Rugor,Nass,RN,81.10236220472441,206,NA,none,m,GUNGAN,Naboo,FALSE
R2-D2,NA,RNA,37.79527559055118,96,32,bald,m,DROID,Naboo,FALSE
R4-P17,NA,RNA,37.79527559055118,96,NA,none,f,DROID,NA,FALSE
R5-D4,NA,RNA,38.188976377952756,97,32,bald,m,DROID,Tatooine,FALSE
Ric,Olié,RO,72.04724409448819,183,NA,brown,m,HUMAN,Naboo,TRUE
Roos,Tarpals,RT,88.18897637795276,224,82,none,m,GUNGAN,Naboo,FALSE
Ratts,Tyerel,RT,31.102362204724407,79,15,none,m,ALEENA,Aleen Minor,FALSE
San,Hill,SH,75.19685039370079,191,NA,none,m,MUUN,Muunilinst,FALSE
Sly,Moore,SM,70.07874015748031,178,48,none,NA,NA,Umbara,FALSE
Sebulba,NA,SNA,44.09448818897638,112,40,none,m,DUG,Malastare,FALSE
Shmi,Skywalker,SS,64.1732283464567,163,NA,black,f,HUMAN,Tatooine,FALSE
Shaak,Ti,ST,70.07874015748031,178,57,none,f,TOGRUTA,Shili,FALSE
Saesee,Tiin,ST,74.01574803149606,188,NA,none,m,IKTOTCHI,Iktotch,FALSE
Tion,Medon,TM,81.10236220472441,206,80,none,m,PAU'AN,Utapau,FALSE
Tarfful,NA,TNA,92.1259842519685,234,136,brown,m,WOOKIEE,Kashyyyk,TRUE
Taun,We,TW,83.85826771653544,213,NA,none,f,KAMINOAN,Kamino,FALSE
Wedge,Antilles,WA,66.92913385826772,170,77,brown,m,HUMAN,Corellia,TRUE
Watto,NA,WNA,53.93700787401575,137,NA,black,m,TOYDARIAN,Toydaria,FALSE
Wicket,Systri,WS,34.645669291338585,88,20,brown,m,EWOK,Endor,TRUE
Wat,Tambor,WT,75.98425196850394,193,48,none,m,SKAKOAN,Skako,FALSE
Wilhuff,Tarkin,WT,70.86614173228347,180,NA,"auburn, grey",m,HUMAN,Eriadu,FALSE
Yoda,NA,YNA,25.984251968503937,66,17,white,m,YODA'S SPECIES,NA,FALSE
Yarael,Poof,YP,103.93700787401575,264,NA,none,m,QUERMIAN,Quermia,FALSE
Zam,Wesell,ZW,66.14173228346456,168,55,blonde,f,CLAWDITE,Zolan,FALSE
